Source	ATG	Target	Interaction	CCV	SYP61	Peroxisome	TGN	VHA-A1-GFP	CLC2-GFP	RABF1/ARA6-RFP	RFP-RABF2b/ARA7	YFP-GOT1	YFP-RABD2a/ARA5	YFP-RABG3f	YFP-VAMP711	Interactor Number	Contaminant	S-acylation	ER	Golgi	mit/plastid	Other	PM	Vacuole	Contaminant	Golgi	ER	ER/Vacuole	Golgi	mit/plastid	not classified	PM	Vacuole	Grand Total	TMs	Lipid modifications	IEA	IDA	Signal peptide	Database	unconventional?
ARA6/AtRABF1	AT4G19640	ARA7/AtRABF2b	pp							1	1		1	1		4			1												1			6	0	S-geranylgeranyl cysteine. {ECO:0000250}.	early endosome membrane vacuolar membrane 	early endosome endoplasmic reticulum endosome plasma membrane 	0	Swiss	
ARA6/AtRABF1	AT1G43890	AtRABC1	pp							1				1		2						1									1			4	0	S-geranylgeranyl cysteine. {ECO:0000250}.	0	plasma membrane 	0	Swiss	
ARA6/AtRABF1	AT3G54840	ARA6/AtRABF1	pp							1						1						1									1			3	0	N-myristoyl glycine.	early endosome membrane plasma membrane 	cytoplasmic side of endosome membrane early endosome endosome 	0	Swiss	
ARA6/AtRABF1	AT1G14670	Endomembrane protein 70 protein family 	pp							1	1	1				3				1						1			1					6	10	0	0	endosome Golgi apparatus membrane trans-Golgi network 	1	Swiss	
ARA6/AtRABF1	AT3G05040	"HST, HST1 ARM repeat superfamily protein "	pp							1						1																		1	0	0	0	nucleus 	0	Swiss	
ARA6/AtRABF1	ATCG00340	"PSAB Photosystem I, PsaA/PsaB protein"	pp						1	1	1					3																		3	11	0	chloroplast thylakoid membrane 	0	0	Swiss	
ARA6/AtRABF1	AT4G30190	"AHA2, PMA2, HA2 H(+)-ATPase 2 "	pp		1					1	1		1			3							1			1						1		7	8	0	plasma membrane 	integral component of membrane 	0	Swiss	
ARA6/AtRABF1	AT3G58730	vacuolar ATP synthase subunit D (VATD) / V-ATPase D subunit / vacuolar proton pump D subunit (VATPD) 	pp		1					1	1					2								1		1		1						6	0	0	0	Golgi apparatus membrane plant-type vacuole plasma membrane vacuolar membrane vacuole 	0	Swiss	
ARA6/AtRABF1	AT3G53420	"PIP2A, PIP2, PIP2;1 plasma membrane intrinsic protein 2A "	pp							1				1		2							1					1						4	6	0	0	chloroplast membrane plasma membrane plasmodesma vacuole 	0	Swiss	
ARA6/AtRABF1	AT1G71270	VPS52	pp						1	1	1		1	1		5																		5	0	0	endosome membrane 	endomembrane system GARP complex Golgi apparatus Golgi membrane 	0	Swiss	
ARA6/AtRABF1	AT1G53750	RPT1A regulatory particle triple-A 1A 	pp							1	1					2																		2	0	0	0	cytosol plasma membrane proteasome complex 	0	Swiss	
ARA6/AtRABF1	AT3G23820	GAE6 UDP-D-glucuronate 4-epimerase 6 	pp							1		1				2				1						1								4	1	0	Golgi cisterna membrane 	endosome Golgi apparatus trans-Golgi network 	0	Swiss	
ARA6/AtRABF1	AT4G29220	PFK1 phosphofructokinase 1 	pp							1						1																		1	0	0	0	cytosol plasma membrane 	0	Swiss	
ARA6/AtRABF1	AT3G02260	"BIG, DOC1, TIR3, UMB1, ASA1, LPR1, CRM1 auxin transport protein (BIG) "	pp						1	1	1		1	1		5						1												6	0	0	0	cytosol membrane plasmodesma 	0	Swiss	
ARA6/AtRABF1	AT3G63460	SEC31B	pp							1	1		1			3																		3	0	0	endoplasmic reticulum Golgi apparatus 	cytosol membrane plasmodesma 	0	Swiss	
ARA6/AtRABF1	AT1G62020	Coatomer ? (RET1p)	pp							1	1		1	1	1	5						1												6	0	0	0	cytosol membrane plasma membrane 	0	Swiss	
ARA6/AtRABF1	AT2G21390	Coatomer ? (RET1p)	pp							1	1		1	1		4																		4	0	0	0	cytosol membrane 	0	Swiss	
ARA6/AtRABF1	AT3G10380	SEC8	pp						1	1	1		1	1		5																		5	0	0	cell wall phragmoplast 	cytosol exocyst plasma membrane plasmodesma 	0	Swiss	
ARA6/AtRABF1	AT4G24550	Clathrin adaptor complexes medium subunit family protein 	pp							1	1			1		3																		3	0	0	coated pit Golgi apparatus 	cytosol 	0	Swiss	
ARA6/AtRABF1	AT3G59020	ARM repeat superfamily protein 	pp							1	1					2																		2	0	0	0	cytosol 	0	Swiss	
ARA6/AtRABF1	AT3G18780	actin 2 (ACT2)	pp							1	1					2																		2	0	0	cytoskeleton 	cytoplasm membrane nucleus 	0	Swiss	
ARA6/AtRABF1	AT3G05530	"RPT5A, ATS6A.2 regulatory particle triple-A ATPase 5A "	pp							1	1			1	1	4																		4	0	0	0	cytoplasm cytosol nucleus proteasome complex 	0	Swiss	
ARA6/AtRABF1	AT2G31660	"SAD2, URM9 ARM repeat superfamily protein "	pp							1	1			1		3																		3	0	0	0	cytoplasm cytosol nucleus 	0	Swiss	
ARA6/AtRABF1	AT3G02530	TCP-1/cpn60 chaperonin family protein 	pp							1	1				1	3																		3	0	0	0	cytoplasm cytosol membrane 	0	Swiss	
ARA6/AtRABF1	AT5G13630	"GUN5, CCH, CHLH, CCH1, ABAR magnesium-chelatase subunit chlH, chloroplast, putative / Mg-protoporphyrin IX chelatase, putative (CHLH) "	pp							1			1	1		3																		3	0	0	chloroplast stroma 	chloroplast mitochondrion 	0	Swiss	
ARA6/AtRABF1	AT1G20260	"ATPase, V1 complex, subunit B protein"	pp							1	1			1	1	4										1								5	0	0	0	chloroplast Golgi apparatus vacuolar membrane vacuole 	0	Swiss	
ARA6/AtRABF1	AT5G08690	ATP synthase alpha/beta family protein 	pp							1	1	1		1	1	5																		5	0	0	0	"chloroplast envelope mitochondrial proton-transporting ATP synthase complex mitochondrial proton-transporting ATP synthase complex, catalytic core F(1) mitochondrial respiratory chain complex I mitochondrion nucleolus "	0	Swiss	
ARA6/AtRABF1	AT5G01530	LHCB4.1 light harvesting complex photosystem II 	pp							1	1					2																		2	0	0	0	chloroplast chloroplast thylakoid chloroplast thylakoid membrane membrane plastoglobule thylakoid 	0	Swiss	
ARA6/AtRABF1	AT1G74960	"FAB1, KAS2, ATKAS2 fatty acid biosynthesis 1 "	pp							1	1			1		3																		3	0	0	0	chloroplast chloroplast stroma 	0	Swiss	
ARA6/AtRABF1	AT3G08940	LHCB4.2 light harvesting complex photosystem II 	pp							1						1																		1	0	0	0	chloroplast chloroplast envelope chloroplast thylakoid chloroplast thylakoid membrane membrane thylakoid 	0	Swiss	
ARA6/AtRABF1	AT3G23400	FIB4 Plastid-lipid associated protein PAP / fibrillin family protein 	pp							1	1					2							1									1		4	0	0	0	chloroplast chloroplast envelope chloroplast thylakoid chloroplast thylakoid membrane membrane nucleus plasma membrane plastoglobule thylakoid thylakoid lumen 	0	Swiss	
ARA6/AtRABF1	AT1G01610	"ATGPAT4, GPAT4 glycerol-3-phosphate acyltransferase 4 "	pp							1						1			1												1			3	3	0	0	0	0	Swiss	
ARA6/AtRABF1	AT5G19820	emb2734 ARM repeat superfamily protein 	pp						1	1	1	1	1	1		6																		6	0	0	0	cell wall cytosol 	0	trembl	1
ARA6/AtRABF1	AT3G01780	TPLATE	pp	1						1	1					2							1											4	0	0	0	cell plate cytoplasm cytosol nucleus phragmoplast plasma membrane plasmodesma 	0	Swiss	
ARA6/AtRABF1	AT1G20620	"CAT3, SEN2, ATCAT3 catalase 3 "	pp			1				1	1	1				3																		4	0	0	0	apoplast cell wall chloroplast chloroplast envelope chloroplast stroma cytosolic ribosome membrane mitochondrion peroxisome plasma membrane plasmodesma vacuole 	0	Swiss	1
ARA6/AtRABF1	AT2G16950	"TRN1, ATTRN1 transportin 1 "	pp						1	1	1		1	1		5																		5	0	0	cytoplasm nucleoplasm 	0	0	Swiss	
ARA6/AtRABF1	AT5G65010	ASN2 asparagine synthetase 2 	pp						1	1	1		1	1		5																		5	0	0	0	0	0	Swiss	
ARA6/AtRABF1	AT1G52360	Coatomer ß ' (SEC27p)	pp							1	1		1	1		4																		4	0	0	COPI-coated vesicle membrane 	0	0	Swiss	
ARA6/AtRABF1	AT5G09900	"EMB2107, RPN5A, MSA 26S proteasome regulatory subunit, putative (RPN5) "	pp							1	1			1		3																		3	0	0	cytoplasm nucleus 	0	0	Swiss	
ARA6/AtRABF1	AT5G65950	unknown protein	pp		1			1		1	1		1			3																		5	0	0	0	0	0	trembl	
ARA6/AtRABF1	AT5G04530	KCS19 3-ketoacyl-CoA synthase 19 	pp							1						1																		1	1	0	0	0	0	Swiss	
ARA6/AtRABF1	AT5G11040	TRS120	pp		1			1		1						1																		3	0	0	0	0	0	Swiss	
ARA6/AtRABF1	AT1G65220	ARM repeat superfamily protein 	pp							1						1																		1	0	0	0	0	0	trembl	
ARA7/AtRABF2b	AT5G64030	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein 	pp		1		1				1	1				2		1		1						1					1			8	1	0	Golgi membrane 	endosome Golgi apparatus trans-Golgi network 	0	Swiss	
ARA7/AtRABF2b	AT4G12650	Endomembrane protein 70 protein family 	pp		1		1				1	1				2				1						1					1			7	10	0	0	endosome Golgi apparatus plasmodesma trans-Golgi network vacuolar membrane vacuole 	1	Swiss	
ARA7/AtRABF2b	AT1G30450	"CCC1, ATCCC1, HAP5 cation-chloride co-transporter 1 "	pp		1		1	1			1		1			2				1									1					7	9	0	0	endosome Golgi apparatus plasma membrane trans-Golgi network 	0	Swiss	
ARA7/AtRABF2b	AT4G30260	YIP4b	pp		1		1	1			1		1			2				1											1			7	5	0	0	0	0	trembl	
ARA7/AtRABF2b	AT3G58460	"ATRBL15, RBL15 RHOMBOID-like protein 15 "	pp				1	1			1		1			2																		4	6	0	0	0	0	Swiss	
ARA7/AtRABF2b	AT3G26520	"TIP2, SITIP, GAMMA-TIP2, TIP1;2 tonoplast intrinsic protein 2 "	pp				1			1	1					2								1		1								5	7	0	0	chloroplast columella endoplasmic reticulum Golgi apparatus membrane plasma membrane vacuolar membrane vacuole 	0	Swiss	
ARA7/AtRABF2b	AT5G44790	"RAN1, HMA7 copper-exporting ATPase / responsive-to-antagonist 1 / copper-transporting ATPase (RAN1) "	pp		1		1	1			1					1		1		1											1			7	8	0	0	endosome Golgi apparatus trans-Golgi network 	0	Swiss	
ARA7/AtRABF2b	AT2G28520	VHA-A1 vacuolar proton ATPase A1 	pp		1		1	1			1					1				1						1					1			7	6	0	0	endosome Golgi apparatus trans-Golgi network trans-Golgi network transport vesicle membrane vacuole 	0	Swiss	
ARA7/AtRABF2b	AT1G52780	Protein of unknown function (DUF2921) 	pp		1		1				1					1				1											1			5	6	0	0	endosome Golgi apparatus membrane trans-Golgi network 	0	trembl	
ARA7/AtRABF2b	AT3G52850	VSR1	pp				1	1			1					1			1							1					1			6	1	0	clathrin-coated vesicle membrane Golgi membrane late endosome membrane 	endoplasmic reticulum Golgi apparatus plasma membrane 	1	Swiss	
ARA7/AtRABF2b	AT3G54300	VAMP727	pp				1	1			1					1																		3	1	0	0	endosome 	0	Swiss	
ARA7/AtRABF2b	AT1G59870	"PEN3, PDR8, ATPDR8, ABCG36, ATABCG36 ABC-2 and Plant PDR ABC-type transporter family protein "	pp		1			1	1	1	1	1	1	1	1	7		1					1									1		12	13	0	0	chloroplast chloroplast envelope membrane mitochondrion plasma membrane vacuolar membrane 	0	Swiss	
ARA7/AtRABF2b	AT5G53480	ARM repeat superfamily protein 	pp						1	1	1	1	1	1	1	7		1																8	0	0	0	chloroplast cytoplasm nucleus 	0	Swiss	
ARA7/AtRABF2b	AT2G46520	"cellular apoptosis susceptibility protein, putative / importin-alpha re-exporter, putative "	pp							1	1	1	1	1	1	6		1																7	0	0	nucleus 	cytosol membrane plasmodesma 	0	Swiss	
ARA7/AtRABF2b	AT5G26360	TCP-1/cpn60 chaperonin family protein 	pp								1		1	1		3		1				1												5	0	0	0	cytosol 	0	Swiss	
ARA7/AtRABF2b	AT2G33120	VAMP722/SAR1	pp							1	1	1	1	1		5																		5	1	0	0	0	0	Swiss	
ARA7/AtRABF2b	AT2G02560	"CAND1, ATCAND1, ETA2, TIP120, HVE cullin-associated and neddylation dissociated "	pp							1	1			1		3		1																4	0	0	0	cell wall cytosol plasma membrane 	0	Swiss	
ARA7/AtRABF2b	AT2G36530	"LOS2, ENO2 Enolase "	pp							1	1			1		3		1				1												5	0	0	0	apoplast chloroplast cytoplasm cytosol membrane mitochondrial envelope mitochondrion nucleus plasma membrane plasmodesma 	0	Swiss	
ARA7/AtRABF2b	AT1G09640	"Translation elongation factor EF1B, gamma chain "	pp								1			1		2		1						1										4	0	0	0	cytosol plasma membrane plasmodesma vacuole 	0	Swiss	
ARA7/AtRABF2b	AT1G62380	"ACO2, ATACO2 ACC oxidase 2 "	pp								1			1		2		1								1								4	0	0	0	cell wall cytosol endoplasmic reticulum Golgi apparatus plasma membrane plasmodesma 	0	Swiss	
ARA7/AtRABF2b	AT5G05010	Coatomer ? (RET2p)	pp								1		1			2		1																3	0	0	0	cytosol membrane plasmodesma 	0	Swiss	
ARA7/AtRABF2b	AT5G12370	SEC10	pp								1		1			2		1																3	0	0	0	exocyst membrane plasma membrane plasmodesma 	0	Swiss	
ARA7/AtRABF2b	AT1G29470	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein 	pp								1	1	1	1		4				1						1			1					7	1	0	Golgi membrane 	endosome Golgi apparatus trans-Golgi network 	0	Swiss	
ARA7/AtRABF2b	AT2G26250	"FDH, KCS10 3-ketoacyl-CoA synthase 10 "	pp								1	1		1	1	4			1								1							6	3	0	0	endoplasmic reticulum membrane 	0	Swiss	
ARA7/AtRABF2b	AT3G42050	vacuolar ATP synthase subunit H family protein 	pp		1						1					1		1						1		1							1	6	0	0	0	chloroplast Golgi apparatus plant-type vacuole plasma membrane vacuolar membrane vacuole 	0	Swiss	
ARA7/AtRABF2b	AT1G19870	IQ-domain 32 (iqd32)	pp								1					1		1				1												3	0	0	0	chloroplast envelope cytosol microtubule associated complex nucleus plasma membrane 	0	Swiss	
ARA7/AtRABF2b	AT4G38540	FAD/NAD(P)-binding oxidoreductase family protein 	pp								1					1		1				1												3	0	0	0	0	0	trembl	
ARA7/AtRABF2b	AT1G26850	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein 	pp							1	1	1	1			4		1		1						1			1					8	1	0	Golgi membrane 	endosome Golgi apparatus membrane trans-Golgi network 	0	Swiss	
ARA7/AtRABF2b	AT4G18030	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein 	pp					1		1	1	1	1			4				1						1			1					8	1	0	Golgi membrane 	endosome Golgi apparatus plant-type cell wall trans-Golgi network vacuolar membrane 	0	Swiss	
ARA7/AtRABF2b	AT5G35430	Tetratricopeptide repeat (TPR)-like superfamily protein 	pp								1					1																		1	0	#N/A	#N/A	#N/A	#N/A	#N/A	
ARA7/AtRABF2b	AT4G19640	ARA7/AtRABF2b	pp							1	1		1	1		4			1												1			6	0	S-geranylgeranyl cysteine. {ECO:0000250}.	early endosome membrane vacuolar membrane 	early endosome endoplasmic reticulum endosome plasma membrane 	0	Swiss	
ARA7/AtRABF2b	AT5G47200	AtRABD2b	pp		1						1			1	1	3						1												5	0	S-geranylgeranyl cysteine. {ECO:0000250}.	Golgi membrane 	Golgi apparatus plasma membrane 	0	Swiss	
ARA7/AtRABF2b	AT1G16920	AtRABA1b	pp		1						1		1			2							1								1			5	0	S-geranylgeranyl cysteine. {ECO:0000250}.	0	plasma membrane vacuolar membrane vacuole 	0	Swiss	
ARA7/AtRABF2b	AT4G18800	AtRABA1d	pp								1				1	2						1												3	0	S-geranylgeranyl cysteine. {ECO:0000250}.	0	early endosome membrane plasma membrane plasmodesma trans-Golgi network membrane 	0	Swiss	
ARA7/AtRABF2b	AT5G20000	AAA-type ATPase family protein	pp								1					1																		1	0	0	cytoplasm 	proteasome complex 	0	Swiss	
ARA7/AtRABF2b	AT4G34830	MRL1 Pentatricopeptide repeat (PPR) superfamily protein 	pp								1		1	1		3																		3	1	0	0	chloroplast 	0	Swiss	
ARA7/AtRABF2b	AT1G55020	"LOX1, ATLOX1 lipoxygenase 1 "	pp								1					1																		1	0	0	0	plastid 	0	Swiss	
ARA7/AtRABF2b	AT5G11980	COG8	pp								1		1			2																		2	0	0	0	plasmodesma 	0	trembl	
ARA7/AtRABF2b	AT5G20490	"XIK, ATXIK, XI-17 Myosin family protein with Dil domain "	pp								1		1			2																		2	0	0	cytoplasm 	plasmodesma 	0	Swiss	
ARA7/AtRABF2b	AT1G20330	"SMT2, CVP1, FRL1 sterol methyltransferase 2 "	pp								1			1	1	3		1	1							1		1						7	1	0	0	endoplasmic reticulum Golgi apparatus 	0	Swiss	
ARA7/AtRABF2b	AT1G36160	"ACC1, AT-ACC1, EMB22, GK, PAS3 acetyl-CoA carboxylase 1 "	pp								1		1	1		3																		3	0	0	cytosol 	plasma membrane 	0	Swiss	
ARA7/AtRABF2b	AT4G38600	"KAK, UPL3 HEAT repeat ;HECT-domain (ubiquitin-transferase) "	pp						1		1		1			3																		3	0	0	0	plasma membrane 	0	Swiss	
ARA7/AtRABF2b	AT5G22780	Adaptin ?2	pp	1							1					1																		2	0	0	coated pit 	plasma membrane 	0	Swiss	
ARA7/AtRABF2b	AT2G36810	ARM repeat superfamily protein 	pp								1					1																		1	0	0	0	plant-type vacuole membrane 	0	Swiss	
ARA7/AtRABF2b	AT4G33650	"ADL2, DRP3A dynamin-related protein 3A "	pp						1		1		1			3																		3	0	0	mitochondrion 	peroxisome 	0	Swiss	
ARA7/AtRABF2b	AT2G14120	DRP3B dynamin related protein 	pp								1					1																		1	0	0	mitochondrion 	peroxisome 	0	Swiss	
ARA7/AtRABF2b	AT3G49720	unknown protein	pp						1		1	1				3		1		1						1			1					7	1	0	Golgi membrane 	chloroplast thylakoid membrane endosome Golgi apparatus membrane plasma membrane trans-Golgi network vacuolar membrane 	0	Swiss	
ARA7/AtRABF2b	AT1G14670	Endomembrane protein 70 protein family 	pp							1	1	1				3				1						1			1					6	10	0	0	endosome Golgi apparatus membrane trans-Golgi network 	1	Swiss	
ARA7/AtRABF2b	AT1G49340	ATPI4K ALPHA Phosphatidylinositol 3- and 4-kinase family protein 	pp								1		1			2																		2	0	0	0	perinuclear region of cytoplasm plasma membrane plasmodesma 	0	Swiss	
ARA7/AtRABF2b	AT2G20990	SYTA synaptotagmin A 	pp						1		1		1			3		1	1												1			6	1	0	endosome membrane plasma membrane 	0	0	Swiss	
ARA7/AtRABF2b	AT4G31160	DCAF1 DDB1-CUL4 associated factor 1 	pp								1					1																		1	0	0	0	nucleus 	0	Swiss	
ARA7/AtRABF2b	AT1G22770	"GI, FB gigantea protein (GI) "	pp								1					1																		1	0	0	cytoplasm 	nucleoplasm nucleus 	0	Swiss	
ARA7/AtRABF2b	ATCG00340	"PSAB Photosystem I, PsaA/PsaB protein"	pp						1	1	1					3																		3	11	0	chloroplast thylakoid membrane 	0	0	Swiss	
ARA7/AtRABF2b	AT5G04130	GYRB2 DNA GYRASE B2 	pp								1		1	1		3																		3	0	0	0	mitochondrion 	0	Swiss	
ARA7/AtRABF2b	AT4G30190	"AHA2, PMA2, HA2 H(+)-ATPase 2 "	pp		1					1	1		1			3							1			1						1		7	8	0	plasma membrane 	integral component of membrane 	0	Swiss	
ARA7/AtRABF2b	AT3G09810	IDH-VI isocitrate dehydrogenase VI 	pp								1				1	2																		2	0	0	0	mitochondrion 	0	Swiss	
ARA7/AtRABF2b	AT1G71410	ARM repeat superfamily protein 	pp								1			1		2																		2	0	0	0	membrane 	0	trembl	
ARA7/AtRABF2b	AT5G25100	Endomembrane protein 70 protein family 	pp								1	1				2		1		1						1			1					6	10	0	0	0	1	Swiss	
ARA7/AtRABF2b	AT4G04910	NSF type	pp		1						1	1	1		1	4						1				1					1			8	0	0	0	Golgi apparatus plasma membrane plasmodesma vacuole 	0	Swiss	
ARA7/AtRABF2b	AT3G58730	vacuolar ATP synthase subunit D (VATD) / V-ATPase D subunit / vacuolar proton pump D subunit (VATPD) 	pp		1					1	1					2								1		1		1						6	0	0	0	Golgi apparatus membrane plant-type vacuole plasma membrane vacuolar membrane vacuole 	0	Swiss	
ARA7/AtRABF2b	AT1G50500	VPS53	pp								1		1	1		3																		3	0	0	endosome membrane 	GARP complex Golgi membrane 	0	Swiss	
ARA7/AtRABF2b	AT4G19490	VPS54	pp								1		1			2																		2	0	0	chloroplast 	GARP complex Golgi membrane 	0	Swiss	
ARA7/AtRABF2b	AT1G13980	GNOM	pp								1		1			2																		2	0	0	cytosol endosome membrane 	endosome plasma membrane 	0	Swiss	
ARA7/AtRABF2b	AT5G13710	"SMT1, CPH sterol methyltransferase 1 "	pp								1	1				2			1															3	0	0	0	endoplasmic reticulum plasmodesma vacuole 	0	Swiss	
ARA7/AtRABF2b	AT4G31500	"CYP83B1, SUR2, RNT1, RED1, ATR4 cytochrome P450, family 83, subfamily B, polypeptide 1 "	pp								1					1			1									1						3	0	0	0	endoplasmic reticulum membrane mitochondrion plasma membrane 	0	Swiss	
ARA7/AtRABF2b	AT4G36250	ALDH3F1 aldehyde dehydrogenase 3F1 	pp								1					1			1									1						3	0	0	0	endoplasmic reticulum membrane 	0	Swiss	
ARA7/AtRABF2b	AT5G46110	"APE2, TPT Glucose-6-phosphate/phosphate translocator-related "	pp								1			1		2																		2	9	0	chloroplast membrane 	0	0	Swiss	
ARA7/AtRABF2b	AT1G44170	"ALDH3H1, ALDH4 aldehyde dehydrogenase 3H1 "	pp								1					1			1							1		1						4	0	0	0	endoplasmic reticulum Golgi apparatus membrane plasmodesma vacuole 	0	Swiss	
ARA7/AtRABF2b	AT2G26890	"GRV2, KAM2 DNAJ heat shock N-terminal domain-containing protein "	pp					1			1					1							1			1								4	0	0	0	endoplasmic reticulum Golgi apparatus intracellular membrane-bounded organelle late endosome late endosome membrane trans-Golgi network vacuolar membrane vacuole 	0	Swiss	
ARA7/AtRABF2b	AT1G71270	VPS52	pp						1	1	1		1	1		5																		5	0	0	endosome membrane 	endomembrane system GARP complex Golgi apparatus Golgi membrane 	0	Swiss	
ARA7/AtRABF2b	AT3G62250	ubiquitin 5 (UBQ5)	pp								1					1										1								2	0	0	nucleus 	cytosolic small ribosomal subunit Golgi apparatus 	0	Swiss	
ARA7/AtRABF2b	AT1G31730	Adaptin family protein 	pp								1					1																		1	0	0	coated pit Golgi apparatus 	cytosol plasmodesma 	0	Swiss	
ARA7/AtRABF2b	AT1G53750	RPT1A regulatory particle triple-A 1A 	pp							1	1					2																		2	0	0	0	cytosol plasma membrane proteasome complex 	0	Swiss	
ARA7/AtRABF2b	AT3G28290	AT14A Protein of unknown function (DUF677) 	pp								1			1		2																		2	2	0	0	0	0	Swiss	
ARA7/AtRABF2b	AT1G76850	SEC5A	pp								1					1																		1	0	0	0	cytosol plasma membrane plasmodesma 	0	Swiss	
ARA7/AtRABF2b	AT1G64740	TUA1 alpha-1 tubulin 	pp								1					1																		1	0	0	0	cytosol plasma membrane 	0	Swiss	
ARA7/AtRABF2b	AT2G32730	"26S proteasome regulatory complex, non-ATPase subcomplex, Rpn2/Psmd1 subunit "	pp								1			1		2																		2	1	0	0	cytosol proteasome complex 	0	Swiss	
ARA7/AtRABF2b	AT3G62830	"UXS2, ATUXS2, AUD1 NAD(P)-binding Rossmann-fold superfamily protein "	pp					1			1	1				2		1		1						1								6	1	0	Golgi cisterna membrane 	endosome Golgi apparatus Golgi membrane plasma membrane trans-Golgi network 	0	Swiss	
ARA7/AtRABF2b	AT1G19360	Nucleotide-diphospho-sugar transferase family protein 	pp								1	1				2		1		1						1					1			6	1	0	0	endosome Golgi apparatus trans-Golgi network 	0	trembl	
ARA7/AtRABF2b	AT5G35160	Endomembrane protein 70 protein family 	pp		1						1	1				2				1						1			1					6	10	0	0	0	1	Swiss	
ARA7/AtRABF2b	AT1G10950	"TMN1, AtTMN1 transmembrane nine 1 "	pp								1	1				2				1						1			1					5	10	0	0	cis-Golgi network endosome Golgi apparatus Golgi medial cisterna membrane trans-Golgi network 	1	Swiss	
ARA7/AtRABF2b	AT3G56110	AtPRA1.B1	pp		1						1	1				2										1								4	4	0	endosome membrane 	endoplasmic reticulum Golgi apparatus 	0	Swiss	
ARA7/AtRABF2b	AT3G13772	"TMN7, AtTMN7 transmembrane nine 7 "	pp								1					1				1						1			1					4	10	0	0	cytoplasm endosome Golgi apparatus nucleus trans-Golgi network vacuolar membrane 	1	Swiss	
ARA7/AtRABF2b	AT3G25800	"PDF1, PR 65, PP2AA2 protein phosphatase 2A  subunit A2 "	pp								1					1																		1	0	0	0	cytosol plasma membrane 	0	Swiss	
ARA7/AtRABF2b	AT4G32285	CAP1	pp								1					1						1												2	0	0	clathrin-coated vesicle coated pit Golgi apparatus 	cytosol nucleus plasma membrane 	0	Swiss	
ARA7/AtRABF2b	ATCG00020	PSBA photosystem II reaction center protein A	pp						1		1					2																		2	7	0	chloroplast thylakoid membrane 	0	0	Swiss	
